State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate,Violent Crime,Property Crime,Violent Crime(Per 100k),Property Crime(Per 100k),Crime Rate(Per 100k)
CA,Huntington Beach Police Department,33.675687,-117.777207,CA0301000,Huntington Beach,198735,15515,7.81,416,3948,209.32,1986.57,2195.89
CA,Glendale Police Department,34.14695,-118.24886,CA0192500,Glendale,196512,27065,13.77,422,4187,214.75,2130.66,2345.4
CA,Santa Rosa Police Department,38.525026,-122.937605,CA0490500,Santa Rosa,179213,17335,9.67,585,2620,326.43,1461.95,1788.37
CA,Elk Grove Police Department,38.450011,-121.340441,CA0340H00,Elk Grove,175510,14759,8.41,335,2158,190.87,1229.56,1420.43
CA,Ontario Police Department,34.027554,-117.593216,CA0360700,Ontario,175223,22607,12.9,615,4185,350.98,2388.39,2739.37
CA,Oceanside Police Department,33.023604,-116.776117,CA0371000,Oceanside,174461,16404,9.4,737,3074,422.44,1762.0,2184.44
CA,Rancho Cucamonga Police Department,34.10287,-117.575584,CA0361600,Rancho Cucamonga,173946,12449,7.16,216,1996,124.18,1147.48,1271.66
CA,Garden Grove Police Department,33.675687,-117.777207,CA0300900,Garden Grove,172708,22837,13.22,309,2430,178.91,1407.0,1585.91
CO,Denver Police Department,39.737377,-104.99167,CODPD0000,Denver,706799,80620,11.41,7279,41090,1029.85,5813.53,6843.39
CO,Aurora Police Department,39.70955,-104.81493,CO0010100,Aurora,383496,38837,10.13,3783,14982,986.45,3906.69,4893.14
CO,Fort Collins Police Department,40.58892,-105.08077,CO0350300,Fort Collins,166788,24796,14.87,500,4147,299.78,2486.39,2786.17
CO,Lakewood Police Department,39.708225,-105.08569,CO0300400,Lakewood,155608,14060,9.04,1119,7253,719.11,4661.07,5380.19
CO,Thornton Police Department,39.868996,-104.984215,CO0010400,Thornton,140538,11486,8.17,400,4321,284.62,3074.61,3359.23
CO,Arvada Police Department,39.802036,-105.08734,CO0300100,Arvada,122903,7363,5.99,262,3170,213.18,2579.27,2792.45
CO,Westminster Police Department,39.86312,-105.050415,CO0010500,Westminster,115535,7638,6.61,378,4117,327.17,3563.42,3890.6
CO,Pueblo Police Department,38.268818,-104.6085,CO0510100,Pueblo,111424,22698,20.37,1641,6224,1472.75,5585.87,7058.62
CO,Centennial Police Department,39.644632,-104.331733,CO0031100,Centennial,107972,3532,3.27,223,2060,206.54,1907.9,2114.44
CO,Greeley Police Department,40.422905,-104.72735,CO0620200,Greeley,107014,15455,14.44,685,3158,640.1,2951.02,3591.12
CO,Boulder Police Department,40.018864,-105.24995,CO0070100,Boulder,104930,19647,18.72,372,3212,354.52,3061.09,3415.61
CO,Longmont Police Department,40.162106,-105.10189,CO0070400,Longmont,98789,8053,8.15,451,2694,456.53,2727.02,3183.55
CO,Loveland Police Department,40.402042,-105.08795,CO0350400,Loveland,75938,6017,7.92,307,1878,404.28,2473.07,2877.35
CO,Broomfield Police Department,39.921543,-105.07059,CO0640100,Broomfield,72697,3183,4.38,130,1767,178.82,2430.64,2609.46
CO,Castle Rock Police Department,39.37022,-104.85867,CO0180100,Castle Rock,71037,2548,3.59,19,1008,26.75,1418.98,1445.73
CO,Grand Junction Police Department,39.019492,-108.461837,CO0390100,Grand Junction,65067,8183,12.58,350,2237,537.91,3437.99,3975.9
CO,Commerce City Police Department,39.874325,-104.331872,CO0010300,Commerce City,61516,6009,9.77,523,1963,850.19,3191.04,4041.23
CO,Parker Police Department,39.326435,-104.926199,CO0180500,Parker,57311,1693,2.95,128,1151,223.34,2008.34,2231.68
CO,Littleton Police Department,39.616898,-105.01454,CO0030200,Littleton,45465,3328,7.32,88,1248,193.56,2744.97,2938.52
CO,Brighton Police Department,39.874325,-104.331872,CO0010200,Brighton,39895,2969,7.44,182,1125,456.2,2819.9,3276.1
CO,Northglenn Police Department,39.9079,-104.98737,CO0010600,Northglenn,37899,3185,8.4,206,1266,543.55,3340.46,3884.01
CO,Englewood Police Department,39.644632,-104.331733,CO0030100,Englewood,33500,2948,8.8,216,1900,644.78,5671.64,6316.42
CO,Wheat Ridge Police Department,39.758446,-105.07984,CO0300500,Wheat Ridge,32340,3875,11.98,138,1445,426.72,4468.15,4894.87
CO,Windsor Police Department,40.555794,-104.383649,CO0620600,Windsor,31972,1115,3.49,15,266,46.92,831.98,878.89
CO,Lafayette Police Department,39.987686,-105.09051,CO0070300,Lafayette,30307,1319,4.35,60,913,197.97,3012.51,3210.48
