State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate
MT,Colstrip Police Department,46.161718,-106.701989,MT0440300,Colstrip,2094.0,155.0,7.4
MT,Columbus Police Department,45.658928,-109.382156,MT0480100,Columbus,2069.0,124.0,5.99
NC,Raleigh Police Department,35.789846,-78.650624,NC0920100,Raleigh,462219.0,53762.0,11.63
NC,Greensboro Police Department,36.070328,-79.79291,NC0410200,Greensboro,295483.0,48985.0,16.58
NC,Durham Police Department,35.99697,-78.90893,NC0320100,Durham,279106.0,36315.0,13.01
NC,Fayetteville Police Department,35.054447,-78.88379,NC0260100,Fayetteville,208497.0,36951.0,17.72
NC,Cary Police Department,35.789846,-78.650624,NC0920300,Cary,171603.0,9717.0,5.66
NC,Wilmington Police Department,34.177466,-77.871378,NC0650200,Wilmington,115976.0,20861.0,17.99
NC,High Point Police Department,35.95928,-79.99295,NC0410300,High Point,113148.0,15774.0,13.94
NC,Concord Police Department,35.387845,-80.552868,NC0130100,Concord,102566.0,8405.0,8.19
NC,Asheville Police Department,35.609371,-82.530426,NC0110100,Asheville,93272.0,11160.0,11.97
NC,Greenville Police Department,35.591095,-77.372376,NC0740300,Greenville,87815.0,21423.0,24.4
NC,Gastonia Police Department,35.293344,-81.177256,NC0360600,Gastonia,79483.0,11152.0,14.03
NC,Jacksonville Police Department,34.763109,-77.499469,NC0670100,Jacksonville,73224.0,8785.0,12.0
NC,Chapel Hill Police Department,35.92805,-79.05418,NC0680100,Chapel Hill,60920.0,9793.0,16.08
NC,Huntersville Police Department,35.246862,-80.833832,NC0600600,Huntersville,60166.0,2511.0,4.17
NC,Apex Police Department,35.733063,-78.85477,NC0920200,Apex,58066.0,1909.0,3.29
NC,Burlington Police Department,36.041974,-79.399935,NC0010100,Burlington,56563.0,9645.0,17.05
NC,Rocky Mount Police Department,35.965945,-77.987555,NC0330100,Rocky Mount,54375.0,10102.0,18.58
NC,Kannapolis Police Department,35.493385,-80.62674,NC0130200,Kannapolis,52173.0,6649.0,12.74
NC,Mooresville Police Department,35.806356,-80.874545,NC0490100,Mooresville,48431.0,3933.0,8.12
NC,Wilson Police Department,35.700351,-77.921602,NC0980100,Wilson,47914.0,9924.0,20.71
NC,Wake Forest Police Department,35.789846,-78.650624,NC0920700,Wake Forest,46387.0,1510.0,3.26
NC,Hickory Police Department,35.729954,-81.343346,NC0180200,Hickory,42831.0,6893.0,16.09
NC,Holly Springs Police Department,35.789846,-78.650624,NC0921700,Holly Springs,40198.0,1625.0,4.04
NC,Salisbury Police Department,35.639218,-80.525344,NC0800500,Salisbury,35258.0,7574.0,21.48
NC,Monroe Police Department,34.991501,-80.530131,NC0900200,Monroe,34464.0,4609.0,13.37
ND,Fargo Police Department,46.927003,-97.252375,ND0090200,Fargo,124979.0,15636.0,12.51
ND,Bismarck Police Department,46.80085,-100.778694,ND0080100,Bismarck,73321.0,6179.0,8.43
ND,Grand Forks Police Department,47.926003,-97.450851,ND0180100,Grand Forks,58867.0,9925.0,16.86
ND,Minot Police Department,48.234222,-101.30105,ND0510200,Minot,48005.0,5516.0,11.49
ND,West Fargo Police Department,46.872604,-96.88475,ND0090300,West Fargo,37913.0,2377.0,6.27
ND,Williston Police Department,48.345867,-103.4874,ND0530200,Williston,27368.0,2055.0,7.51
ND,Dickinson Police Department,46.89417,-102.78564,ND0450100,Dickinson,24851.0,2959.0,11.91
ND,Mandan Police Department,46.82736,-100.89153,ND0300200,Mandan,23784.0,2066.0,8.69
ND,Jamestown Police Department,46.903137,-98.70666,ND0470100,Jamestown,15823.0,2051.0,12.96
ND,Wahpeton Police Department,46.266014,-96.60567,ND0390300,Wahpeton,7928.0,1212.0,15.29
ND,Devils Lake Police Department,48.107742,-98.867455,ND0360100,Devils Lake,7201.0,1403.0,19.48
ND,Watford City Police Department,47.742475,-103.403215,ND0270100,Watford City,5725.0,641.0,11.2
ND,Grafton Police Department,48.418118,-97.40549,ND0500100,Grafton,4186.0,408.0,9.75
ND,Lincoln Police Department,46.764328,-100.69424,ND0080300,Lincoln,4126.0,491.0,11.9
ND,Beulah Police Department,47.307175,-101.833261,ND0290100,Beulah,3070.0,185.0,6.03
ND,New Town Police Department,48.210291,-102.364756,ND0310100,New Town,2745.0,594.0,21.64
ND,Hazen Police Department,47.307175,-101.833261,ND0290200,Hazen,2564.0,297.0,11.58
ND,Rugby Police Department,48.37129,-99.97709,ND0350100,Rugby,2546.0,328.0,12.88
ND,Carrington Police Department,47.44954,-99.12645,ND0160100,Carrington,2133.0,181.0,8.49
ND,Lisbon Police Department,46.449276,-97.647554,ND0370200,Lisbon,2109.0,403.0,19.11
ND,Stanley Police Department,48.210291,-102.364756,ND0310300,Stanley,2079.0,104.0,5.0
ND,Oakes Police Department,46.140102,-98.09345,ND0110200,Oakes,1981.0,72.0,3.63
ND,Harvey Police Department,47.770348,-99.93452,ND0520100,Harvey,1701.0,196.0,11.52
ND,Bowman Police Department,46.110144,-103.505943,ND0060100,Bowman,1604.0,162.0,10.1
ND,Burlington Police Department,48.216686,-101.540537,ND0510300,Burlington,1534.0,65.0,4.24
NE,Omaha Police Department,41.297091,-96.154066,NB0280200,Omaha,488059.0,57642.0,11.81
NE,Lincoln Police Department,40.783547,-96.688658,NB0550100,Lincoln,289136.0,35909.0,12.42
NE,Bellevue Police Department,41.115064,-96.109125,NB0770100,Bellevue,62888.0,5443.0,8.66
NE,Grand Island Police Department,40.866023,-98.498004,NB0400100,Grand Island,52755.0,6600.0,12.51
NE,Kearney Police Department,40.855226,-99.074983,NB0100100,Kearney,33558.0,4892.0,14.58
NE,Fremont Police Department,41.577008,-96.645853,NB0270100,Fremont,27245.0,3179.0,11.67
